canonical_skill,raw_variants,total_mentions,resume_count
Kubernetes,"K8S, Kubernetes",597,597
REST APIs,"REST, REST APIs, RESTful, RESTful APIs, Restful Apis",589,589
Java,"Java, Java 17",531,531
Airflow,"Airflow, Apache Airflow",356,356
React,"React, React 16+",141,141
GCP,"GCP, Google Cloud",91,91
Generative AI,"Genai, Generative AI",49,49
CSS,"CSS, Css",46,46
Embedded Systems,"Embedded, Embedded Systems",25,25
pytest,"Pytest, pytest",19,19
JUnit,"JUnit, Junit",18,18
Flink,"Apache Flink, Flink",9,9
GitLab CI,"GitLab CI, Gitlab Ci",7,7
HTML5,"HTML5, Html5",5,5
Selenium,"Selenium, Selenium Webdriver",5,5
DynamoDB,"DynamoDB, Dynamodb",3,3
Embeddings,"Embeddings, Vector Embeddings",2,2
OpenAI API,"OpenAI API, Openai Api",2,2
