canonical_skill,category,total_mentions,resume_count,raw_variants
Python,Programming Languages,616,616,Python
Go,Programming Languages,574,574,Go
Java,Programming Languages,531,531,"Java, Java 17"
JavaScript,Programming Languages,169,169,JavaScript
C++,Programming Languages,146,146,C++
Scala,Programming Languages,146,146,Scala
TypeScript,Programming Languages,124,124,TypeScript
R,Programming Languages,46,46,R
C#,Programming Languages,28,28,C#
PHP,Programming Languages,12,12,Php
Ruby,Programming Languages,12,12,Ruby
Rust,Programming Languages,12,12,Rust
Kotlin,Programming Languages,10,10,Kotlin
Swift,Programming Languages,5,5,Swift
MATLAB,Programming Languages,2,2,Matlab
VB.NET,Programming Languages,1,1,Vb.Net
REST APIs,Backend & APIs,589,572,"REST, REST APIs, RESTful, RESTful APIs, Restful Apis"
gRPC,Backend & APIs,526,526,gRPC
Microservices,Backend & APIs,326,326,Microservices
Flask,Backend & APIs,319,319,Flask
Node.js,Backend & APIs,42,42,Node.js
Spring Boot,Backend & APIs,36,36,Spring Boot
Spring,Backend & APIs,35,35,Spring
Express,Backend & APIs,28,28,Express
.NET,Backend & APIs,24,24,.NET
ASP.NET,Backend & APIs,23,23,ASP.NET
Rails,Backend & APIs,16,16,Rails
GraphQL,Backend & APIs,10,10,GraphQL
FastAPI,Backend & APIs,8,8,FastAPI
Django,Backend & APIs,4,4,Django
NestJS,Backend & APIs,2,2,NestJS
.NET / C#,Backend & APIs,1,1,C#/.Net
ASP.NET MVC,Backend & APIs,1,1,ASP.NET MVC
React,Frontend & UI,141,140,"React, React 16+"
Angular,Frontend & UI,51,51,Angular
CSS,Frontend & UI,46,46,"CSS, Css"
HTML,Frontend & UI,42,42,Html
Vue,Frontend & UI,17,17,Vue
HTML5,Frontend & UI,5,5,"HTML5, Html5"
Vite,Frontend & UI,4,4,Vite
CSS3,Frontend & UI,3,3,Css3
Next.js,Frontend & UI,3,3,Next.js
Android SDK,Frontend & UI,1,1,Android Sdk
Jetpack Compose,Frontend & UI,1,1,Jetpack Compose
