canonical_skill,category,total_mentions,resume_record_count,jd_record_count,source_coverage,raw_variants
Python,Programming Languages,5982,616,2508,resume+jd,"Programming Languages - Python, Programming languages - Python, Python"
Java,Programming Languages,3136,531,1189,resume+jd,"Java, Java 17, Programming Languages - Java, Programming languages - Java"
C,Programming Languages,2313,0,1072,jd_only,"C, Programming Languages - C, Programming languages - C"
Go,Programming Languages,1579,574,487,resume+jd,"Go, GoLang, Golang"
C++,Programming Languages,1765,146,767,resume+jd,"C++, Programming Languages - C++, Programming languages - C++"
JavaScript,Programming Languages,1673,169,711,resume+jd,"JavaScript, Programming languages - JavaScript"
TypeScript,Programming Languages,1291,124,573,resume+jd,"TypeScript, Typescript, typescript"
C#,Programming Languages,1161,28,492,resume+jd,"C#, Programming Languages - C#, Programming languages - C#"
R,Programming Languages,630,46,328,resume+jd,R
Scala,Programming Languages,426,146,148,resume+jd,Scala
Rust,Programming Languages,260,12,124,resume+jd,Rust
Ruby,Programming Languages,195,12,96,resume+jd,Ruby
Kotlin,Programming Languages,184,10,87,resume+jd,Kotlin
Swift,Programming Languages,107,5,60,resume+jd,Swift
PHP,Programming Languages,105,12,47,resume+jd,"PHP, Php, php"
MATLAB,Programming Languages,42,2,29,resume+jd,"MATLAB, MatLab, Matlab"
VB.NET,Programming Languages,25,1,11,resume+jd,"VB.NET, VB.Net, VB.net, Vb.Net"
APIs,Backend & APIs,2793,0,1349,jd_only,"API, APIs"
REST APIs,Backend & APIs,1642,572,621,resume+jd,"REST, REST APIs, REST Web Services, REST web services, RESTful, RESTful APIs, Restful APIs, Restful Apis"
Microservices,Backend & APIs,1001,326,387,resume+jd,Microservices
gRPC,Backend & APIs,624,526,65,resume+jd,gRPC
Flask,Backend & APIs,437,319,75,resume+jd,Flask
Node.js,Backend & APIs,463,42,234,resume+jd,Node.js
Spring,Backend & APIs,436,35,205,resume+jd,Spring
.NET,Backend & APIs,397,24,182,resume+jd,.NET
Spring Boot,Backend & APIs,310,36,143,resume+jd,Spring Boot
Backend Development,Backend & APIs,253,0,156,jd_only,Backend Development
