canonical_skill,category,total_mentions,record_count,raw_variants,source_scopes
Python,Programming Languages,5366,2508,"Programming Languages - Python, Programming languages - Python, Python","both, scraped_current"
Java,Programming Languages,2605,1189,"Java, Java 17, Programming Languages - Java, Programming languages - Java","both, scraped_current"
C,Programming Languages,2313,1072,"C, Programming Languages - C, Programming languages - C","both, scraped_current"
C++,Programming Languages,1619,767,"C++, Programming Languages - C++, Programming languages - C++","both, scraped_current"
JavaScript,Programming Languages,1504,711,"JavaScript, Programming languages - JavaScript","both, scraped_current"
TypeScript,Programming Languages,1167,573,"TypeScript, Typescript, typescript","both, scraped_current"
C#,Programming Languages,1133,492,"C#, Programming Languages - C#, Programming languages - C#","both, scraped_current"
Go,Programming Languages,1005,487,"Go, GoLang, Golang","both, scraped_current"
R,Programming Languages,584,328,R,"both, scraped_current"
Scala,Programming Languages,280,148,Scala,"both, scraped_current"
Rust,Programming Languages,248,124,Rust,"both, scraped_current"
Ruby,Programming Languages,183,96,Ruby,"both, scraped_current"
Kotlin,Programming Languages,174,87,Kotlin,"both, scraped_current"
Swift,Programming Languages,102,60,Swift,"both, scraped_current"
PHP,Programming Languages,93,47,"PHP, php","both, scraped_current"
MATLAB,Programming Languages,40,29,"MATLAB, MatLab, Matlab","both, scraped_current"
VB.NET,Programming Languages,24,11,"VB.NET, VB.Net, VB.net","both, scraped_current"
APIs,Backend & APIs,2793,1349,"API, APIs","both, scraped_current"
REST APIs,Backend & APIs,1053,621,"REST, REST APIs, REST Web Services, REST web services, RESTful, RESTful APIs, Restful APIs","both, scraped_current"
Microservices,Backend & APIs,675,387,Microservices,"both, scraped_current"
Node.js,Backend & APIs,421,234,Node.js,"both, scraped_current"
Spring,Backend & APIs,401,205,Spring,"both, scraped_current"
.NET,Backend & APIs,373,182,.NET,"both, scraped_current"
Backend Development,Backend & APIs,253,156,Backend Development,"both, scraped_current"
Spring Boot,Backend & APIs,274,143,Spring Boot,"both, scraped_current"
GraphQL,Backend & APIs,226,139,GraphQL,"both, scraped_current"
Web Development,Backend & APIs,142,96,Web Development,"both, scraped_current"
FastAPI,Backend & APIs,129,80,FastAPI,"both, scraped_current"
Full-Stack Development,Backend & APIs,137,77,Full-Stack Development,"both, scraped_current"
Flask,Backend & APIs,118,75,Flask,"both, scraped_current"
Django,Backend & APIs,124,72,Django,"both, scraped_current"
gRPC,Backend & APIs,98,65,gRPC,"both, scraped_current"
ASP.NET,Backend & APIs,77,38,ASP.NET,"both, scraped_current"
Rails,Backend & APIs,82,36,Rails,"both, scraped_current"
Express,Backend & APIs,32,20,Express,"both, scraped_current"
.NET / C#,Backend & APIs,42,19,"C#/.NET, C#/.Net","both, scraped_current"
NestJS,Backend & APIs,20,10,NestJS,"both, scraped_current"
ASP.NET MVC,Backend & APIs,17,8,ASP.NET MVC,"both, scraped_current"
React,Frontend & UI,1321,635,"React, React 16+","both, scraped_current"
Angular,Frontend & UI,407,224,Angular,"both, scraped_current"
CSS,Frontend & UI,280,168,CSS,"both, scraped_current"
HTML,Frontend & UI,256,150,HTML,"both, scraped_current"
