raw_skill,canonical_skill,total_mentions,record_count,source_labels,source_scopes,categories
Python,Python,5348,2508,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Programming Languages
Machine Learning,Machine Learning,2968,1150,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",AI / ML
SQL,SQL,2633,1334,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Data & Analytics
Java,Java,2575,1189,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Programming Languages
C,C,2294,1072,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Programming Languages
AWS,AWS,2166,1284,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Cloud / DevOps / Infrastructure
APIs,APIs,1898,1049,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Backend & APIs
C++,C++,1605,767,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Programming Languages
JavaScript,JavaScript,1498,711,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Programming Languages
CI/CD,CI/CD,1361,861,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Cloud / DevOps / Infrastructure
React,React,1314,634,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Frontend & UI
Algorithms,Algorithms,1308,744,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Architecture / Systems
Azure,Azure,1278,803,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Cloud / DevOps / Infrastructure
Data Science,Data Science,1127,585,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Data & Analytics
C#,C#,1126,492,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Programming Languages
TypeScript,TypeScript,1084,543,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Programming Languages
Agile,Agile,1037,629,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Quality & Workflow
Kubernetes,Kubernetes,975,611,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Cloud / DevOps / Infrastructure
API,APIs,895,592,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Backend & APIs
Data Pipelines,Data Pipelines,878,498,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Data & Analytics
LLM,LLM,860,534,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",AI / ML
Distributed Systems,Distributed Systems,817,503,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Architecture / Systems
Docker,Docker,758,535,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",Cloud / DevOps / Infrastructure
PyTorch,PyTorch,756,475,"core_responsibilities, core_skills, job_summary, must_have_quals, portfolio_job_md, preferred_quals","both, scraped_current",AI / ML
