raw_skill,canonical_skill,total_mentions,resume_count,source_labels,categories
Python,Python,616,616,"APIs, Data, Programming",Programming Languages
SQL,SQL,616,616,"AI/ML, APIs, Cloud, Data, Programming",Data & Analytics
Docker,Docker,606,606,Cloud,Cloud / DevOps / Infrastructure
Kubernetes,Kubernetes,596,596,"Cloud, Systems",Cloud / DevOps / Infrastructure
PostgreSQL,PostgreSQL,584,584,"Cloud, Systems",Databases / Storage / Streaming
Go,Go,574,574,"APIs, Programming",Programming Languages
Kafka,Kafka,574,574,"Cloud, Programming, Systems",Databases / Storage / Streaming
Pandas,Pandas,569,569,"AI/ML, Data, Programming",Data & Analytics
Spark SQL,Spark SQL,568,568,"AI/ML, APIs, Analytics, Cloud, Data",Data & Analytics
Hive,Hive,559,559,"AI/ML, APIs, Analytics, Data, Programming",Data & Analytics
Java,Java,530,530,"APIs, Programming",Programming Languages
gRPC,gRPC,526,526,"APIs, Programming",Backend & APIs
REST,REST APIs,503,503,"APIs, Programming",Backend & APIs
AWS,AWS,497,497,Cloud,Cloud / DevOps / Infrastructure
Redis,Redis,484,484,"Cloud, Programming, Systems",Databases / Storage / Streaming
RAG,RAG,462,462,"AI/ML, Analytics, Cloud, Data",AI / ML
AWS Bedrock,AWS Bedrock,456,456,"AI/ML, Analytics, Cloud, Data",AI / ML
ETL,ETL,450,450,"Analytics, Data, Programming",Data & Analytics
MySQL,MySQL,401,401,"Cloud, Programming, Systems",Databases / Storage / Streaming
A/B Testing,A/B Testing,389,389,"Analytics, Data",Data & Analytics
S3,S3,370,370,"Cloud, Systems",Databases / Storage / Streaming
Airflow,Airflow,355,355,"APIs, Analytics, Data, Programming",Data & Analytics
CI/CD,CI/CD,343,343,"Cloud, Systems",Cloud / DevOps / Infrastructure
GitHub Actions,GitHub Actions,333,333,"Cloud, Systems",Cloud / DevOps / Infrastructure
Microservices,Microservices,326,326,"Cloud, Programming, Systems",Backend & APIs
Flask,Flask,319,319,"APIs, Programming",Backend & APIs
LLM,LLM,173,173,"AI/ML, Analytics, Cloud, Data",AI / ML
JavaScript,JavaScript,169,169,"APIs, Programming",Programming Languages
scikit-learn,scikit-learn,167,167,"AI/ML, Analytics, Cloud, Data",AI / ML
Machine Learning,Machine Learning,164,164,"AI/ML, Analytics, Cloud, Data",AI / ML
Git,Git,160,160,"APIs, Programming",Quality & Workflow
C++,C++,146,146,Programming,Programming Languages
Scala,Scala,146,146,"APIs, Programming",Programming Languages
React,React,140,140,"APIs, Programming",Frontend & UI
Algorithms,Algorithms,130,130,"APIs, Programming",Architecture / Systems
