canonical_skill,category,in_resume,in_jd,source_coverage,resume_record_count,jd_record_count
Python,Programming Languages,yes,yes,resume+jd,616,2508
SQL,Data & Analytics,yes,yes,resume+jd,616,1334
AWS,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,497,1284
Java,Programming Languages,yes,yes,resume+jd,531,1189
APIs,Backend & APIs,no,yes,jd_only,0,1349
Machine Learning,AI / ML,yes,yes,resume+jd,164,1150
Kubernetes,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,596,624
CI/CD,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,343,861
REST APIs,Backend & APIs,yes,yes,resume+jd,572,621
Docker,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,606,535
C,Programming Languages,no,yes,jd_only,0,1072
Go,Programming Languages,yes,yes,resume+jd,574,487
LLM,AI / ML,yes,yes,resume+jd,173,764
Azure,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,124,803
C++,Programming Languages,yes,yes,resume+jd,146,767
JavaScript,Programming Languages,yes,yes,resume+jd,169,711
Algorithms,Architecture / Systems,yes,yes,resume+jd,130,744
Kafka,Databases / Storage / Streaming,yes,yes,resume+jd,574,273
PostgreSQL,Databases / Storage / Streaming,yes,yes,resume+jd,584,213
React,Frontend & UI,yes,yes,resume+jd,140,635
RAG,AI / ML,yes,yes,resume+jd,462,291
ETL,Data & Analytics,yes,yes,resume+jd,450,290
Pandas,Data & Analytics,yes,yes,resume+jd,569,157
Microservices,Backend & APIs,yes,yes,resume+jd,326,387
TypeScript,Programming Languages,yes,yes,resume+jd,124,573
GCP,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,91,578
Agile,Quality & Workflow,yes,yes,resume+jd,27,629
Git,Quality & Workflow,yes,yes,resume+jd,160,483
Hive,Data & Analytics,yes,yes,resume+jd,559,65
Distributed Systems,Architecture / Systems,yes,yes,resume+jd,79,531
gRPC,Backend & APIs,yes,yes,resume+jd,526,65
Data Science,Data & Analytics,no,yes,jd_only,0,585
Redis,Databases / Storage / Streaming,yes,yes,resume+jd,484,101
MySQL,Databases / Storage / Streaming,yes,yes,resume+jd,401,179
Spark SQL,Data & Analytics,yes,yes,resume+jd,568,9
PyTorch,AI / ML,yes,yes,resume+jd,96,475
Data Structures,Architecture / Systems,yes,yes,resume+jd,124,423
Data Pipelines,Data & Analytics,yes,yes,resume+jd,41,498
Generative AI,AI / ML,yes,yes,resume+jd,49,480
S3,Databases / Storage / Streaming,yes,yes,resume+jd,370,154
C#,Programming Languages,yes,yes,resume+jd,28,492
Airflow,Data & Analytics,yes,yes,resume+jd,356,148
A/B Testing,Data & Analytics,yes,yes,resume+jd,389,98
AWS Bedrock,AI / ML,yes,yes,resume+jd,456,25
GitHub Actions,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,333,118
Linux,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,95,354
Deep Learning,AI / ML,yes,yes,resume+jd,49,353
TensorFlow,AI / ML,yes,yes,resume+jd,64,337
Flask,Backend & APIs,yes,yes,resume+jd,319,75
Spark,Data & Analytics,yes,yes,resume+jd,43,332
R,Programming Languages,yes,yes,resume+jd,46,328
NoSQL,Databases / Storage / Streaming,yes,yes,resume+jd,65,292
NLP,AI / ML,yes,yes,resume+jd,40,305
scikit-learn,AI / ML,yes,yes,resume+jd,167,151
Version Control,Quality & Workflow,no,yes,jd_only,0,317
Scala,Programming Languages,yes,yes,resume+jd,146,148
Scrum,Quality & Workflow,yes,yes,resume+jd,114,175
Relational Databases,Databases / Storage / Streaming,no,yes,jd_only,0,282
Tableau,Data & Analytics,yes,yes,resume+jd,42,239
Terraform,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,40,240
Node.js,Backend & APIs,yes,yes,resume+jd,42,234
Angular,Frontend & UI,yes,yes,resume+jd,51,224
Prompt Engineering,AI / ML,yes,yes,resume+jd,9,253
System Design,Architecture / Systems,yes,yes,resume+jd,41,217
Jenkins,Cloud / DevOps / Infrastructure,yes,yes,resume+jd,60,191
Spring,Backend & APIs,yes,yes,resume+jd,35,205
MongoDB,Databases / Storage / Streaming,yes,yes,resume+jd,78,137
CSS,Frontend & UI,yes,yes,resume+jd,46,168
Databricks,Data & Analytics,yes,yes,resume+jd,26,183
Snowflake,Data & Analytics,yes,yes,resume+jd,33,176
.NET,Backend & APIs,yes,yes,resume+jd,24,182
